Open,High,Low,Close,Adj_close,Volume,Date,Stock_name
46.279999,46.490002,45.599998,45.619999,37.68531,180700.0,2017-07-10T00:00:00,ADC
45.77,45.830002,45.07,45.669998,37.726631,213300.0,2017-07-11T00:00:00,ADC
46.189999,46.970001,46.0,46.709999,38.585728,198500.0,2017-07-12T00:00:00,ADC
46.700001,46.82,46.0,46.150002,38.123119,168100.0,2017-07-13T00:00:00,ADC
46.330002,47.139999,46.330002,46.880001,38.726158,148800.0,2017-07-14T00:00:00,ADC
46.880001,47.580002,46.650002,47.150002,38.949203,300000.0,2017-07-17T00:00:00,ADC
47.75,47.75,47.080002,47.400002,39.15572,201000.0,2017-07-18T00:00:00,ADC
47.490002,47.639999,47.310001,47.459999,39.20528,153300.0,2017-07-19T00:00:00,ADC
47.66,47.75,47.200001,47.25,39.031815,163400.0,2017-07-20T00:00:00,ADC
47.98,47.98,46.959999,47.25,39.031815,165900.0,2017-07-21T00:00:00,ADC
47.380001,47.380001,46.82,46.98,38.808769,209700.0,2017-07-24T00:00:00,ADC
47.41,48.150002,46.5,47.779999,39.46962,441200.0,2017-07-25T00:00:00,ADC
47.91,49.09,47.810001,48.939999,40.427864,364700.0,2017-07-26T00:00:00,ADC
48.759998,49.299999,48.549999,49.040001,40.510475,271600.0,2017-07-27T00:00:00,ADC
49.040001,49.540001,48.869999,49.169998,40.617867,226600.0,2017-07-28T00:00:00,ADC
49.169998,49.27,48.75,49.169998,40.617867,144900.0,2017-07-31T00:00:00,ADC
49.419998,49.779999,49.110001,49.310001,40.733521,178200.0,2017-08-01T00:00:00,ADC
49.200001,49.23,48.689999,49.009998,40.485687,146400.0,2017-08-02T00:00:00,ADC
48.939999,49.720001,48.93,49.57,40.948292,358800.0,2017-08-03T00:00:00,ADC
49.439999,50.18,49.099998,49.669998,41.030903,215000.0,2017-08-04T00:00:00,ADC
49.830002,49.830002,49.150002,49.41,40.816124,121600.0,2017-08-07T00:00:00,ADC
49.27,49.700001,49.27,49.59,40.964817,170800.0,2017-08-08T00:00:00,ADC
49.650002,49.759998,49.150002,49.330002,40.750046,107300.0,2017-08-09T00:00:00,ADC
49.34,49.57,49.0,49.16,40.609604,89700.0,2017-08-10T00:00:00,ADC
48.790001,48.799999,48.150002,48.509998,40.072655,142400.0,2017-08-11T00:00:00,ADC
48.68,49.41,48.560001,49.23,40.667427,123800.0,2017-08-14T00:00:00,ADC
49.02,49.029999,48.07,48.82,40.328739,159000.0,2017-08-15T00:00:00,ADC
48.889999,49.41,48.619999,49.029999,40.50222,191900.0,2017-08-16T00:00:00,ADC
